ts,price,qty,is_buyer_maker
1762868040609799168,100.17119894873862,0.13978121116224984,0
1762868040809799168,100.18253557019557,0.16004573545588563,1
1762868041009799168,100.18445003808641,0.08773621531727105,0
1762868041209799168,100.13868304405398,0.06083661743909853,1
1762868041409799168,100.19129965011511,0.01306782075958235,1
1762868041609799168,100.26835444056545,0.004156791618144108,1
1762868041809799168,100.32598321752762,0.006194045264351922,1
1762868042009799168,100.41570408704696,0.005178697286592326,1
1762868042209799168,100.58360879297047,0.0077167767728179015,0
1762868042409799168,100.44135089495644,0.007840930848748165,0
1762868042609799168,100.40266554057138,0.11441575509858613,1
1762868042809799168,100.45257965484493,0.030000692144923836,1
1762868043009799168,100.28886745405936,0.026771467816304552,1
1762868043209799168,100.42548370061895,0.0626432198470503,1
1762868043409799168,100.60502006343354,0.016470687595653257,1
1762868043609799168,100.55619673324993,0.07849506090876668,1
1762868043809799168,100.59674130513511,0.11237975264038498,1
1762868044009799168,100.62034979138586,0.09231226803405666,0
1762868044209799168,100.63256926336898,0.012628886777765878,1
1762868044409799168,100.71580438364936,0.08327329857121282,1
1762868044609799168,100.70827359557269,0.059654296117200536,0
1762868044809799168,100.67041133790842,0.03819057077025699,1
1762868045009799168,100.66239722185735,0.08497686483733405,1
1762868045209799168,100.5339554968234,0.05778159054107279,1
1762868045409799168,100.50579045817541,0.058999104672910266,1
1762868045609799168,100.57577549579631,0.03135326438472543,0
1762868045809799168,100.72910118959952,0.010636648350878042,0
1762868046009799168,100.83611600771347,0.030324421069947538,0
1762868046209799168,100.81868744081595,0.08890064264792544,0
1762868046409799168,100.74630869801906,0.022723553821598942,0
1762868046609799168,100.72857615682558,0.02953849094315683,0
1762868046809799168,100.92386704591435,0.06939254226894703,0
1762868047009799168,100.98128332883351,0.03383144947779429,1
1762868047209799168,100.87160793116867,0.11969836370472615,1
1762868047409799168,101.10185222235924,0.04345196646269128,0
1762868047609799168,101.17424747820115,0.05892496205827115,1
1762868047809799168,101.2158938731536,0.07215608285004692,1
1762868048009799168,101.26665980743557,0.01903148376411573,1
1762868048209799168,101.41327045343247,0.007842199185209188,0
1762868048409799168,101.33643145580928,0.026536777914640347,0
1762868048609799168,101.51267990964104,0.02290633964430047,0
1762868048809799168,101.56422348364117,0.049026689239150184,0
1762868049009799168,101.44104762016363,0.009145035080738339,1
1762868049209799168,101.53082701991504,0.030677881523187546,1
1762868049409799168,101.53511625375445,0.021453429677799604,0
1762868049609799168,101.42922470800163,0.010614214641385856,1
1762868049809799168,101.49589705640827,0.006531148863112657,0
1762868050009799168,101.6534060177708,0.011671816469293017,0
1762868050209799168,101.75350259868536,0.01418182119173951,1
1762868050409799168,101.6603412418881,0.047980425551559264,1
1762868050609799168,101.60942497821297,0.01048610284883003,1
1762868050809799168,101.48417990507109,0.01611004513259964,0
1762868051009799168,101.28830396708301,0.01866653919083441,0
1762868051209799168,101.25021156538232,0.021888506538020682,1
1762868051409799168,101.12640591288722,0.02574636113518555,0
1762868051609799168,100.9975457434603,0.03161343603196046,1
1762868051809799168,101.00102910232653,0.08968243709001894,0
1762868052009799168,101.15938212227168,0.06051796041335278,0
1762868052209799168,101.00409152920709,0.03793626002772428,0
1762868052409799168,101.10214165583163,0.06439949372591845,1
1762868052609799168,101.2923981010403,0.07486368211782976,1
1762868052809799168,101.42507839303299,0.033696691039674966,1
1762868053009799168,101.31854752407715,0.04061042907158695,0
1762868053209799168,101.08354621606857,0.08004912138048076,1
1762868053409799168,101.18276556704642,0.028038858611747278,0
1762868053609799168,101.26167476614447,0.03432658111387351,1
1762868053809799168,101.29415260926017,0.060965944198431446,1
1762868054009799168,101.53066718536937,0.011882476520866294,1
1762868054209799168,101.50647365202617,0.05689895300470316,0
1762868054409799168,101.37066376743903,0.052435377190551746,0
1762868054609799168,101.1648234268315,0.1031897775531424,0
1762868054809799168,101.17559107810533,0.03338156342112028,1
1762868055009799168,101.27264999770807,0.007353293155079605,0
1762868055209799168,101.19662432192195,0.06944736858228287,1
1762868055409799168,101.16205454807694,0.039425228705849864,0
1762868055609799168,101.02531553837593,0.057805487862936517,1
1762868055809799168,100.91251945790827,0.015843272661133796,1
1762868056009799168,100.86747068254967,0.01775034268043035,0
1762868056209799168,100.80975151090519,0.001958432486379165,0
1762868056409799168,100.94624888441699,0.040834327198623115,0
1762868056609799168,100.92611267111228,0.01136263248781504,1
1762868056809799168,100.92998194445248,0.04486800884912603,1
